"make_id","name"
"5685","Camber"
"373","Ca-mo-car"
"5415","Campion"
"6417","Canados"
"5102","CAN-AM"
"5352","Cannondale"
"5790","Cantieri di Sarnico"
"5732","Canyon"
"1149","Capelli"
"5573","Capello"
"5527","Cappo di mare"
"5848","Capriolo"
"3852","Carado"
"613","Caravelair"
"6003","Carhartt"
"1162","Caribe"
"5172","Carisma"
"5819","Carlotti Spring"
"5393","Carnaby"
"100","Carnehl"
"6030","Carnielli"
"3853","Caro"
"5787","Carolina Classic"
"101","Carraro"
"5645","Carrera"
"5167","Carson"
"375","Carthago"
"5103","Carver"
"6288","Casalini"
"5733","Casati"
"102","Case"
"103","CAT"
"642","Caterham"
"5315","Cayman"
"3887","Ccm"
"5088","Cectek"
"1206","Celebrity"
"6357","Celli"
"5694","Cembio"
"6271","Century"
"5692","Cervelo"
"5008","Cesab"
"5665","CFmoto"
"5946","Challenge"
"376","Challenger"
"5693","Champion"
"5138","Chang Jiang"
"1228","Chaparral"
"1229","Chapparal"
"6287","Chatenet"
"377","Chausson"
"6066","Checchi-Magli"
"5734","Checker Pig"
"3888","Cheetah"
"653","Chereau"
"643","Chery"
"5735","Chesini"
"104","Cheval Liberte"
"10","Chevrolet"
"5348","China-Motors"
"5498","Chisel"
"1252","Chriscraft"
"1253","Chris-Craft"
"11","Chrysler"
"5637","Cicoria"
"5205","Cifa"
"5786","Cigarette"
"378","Ci-International"
"5736","Cilo"
"5427","Cinelli"
"5737","Ciocc"
"6106","Cipollini"
"105","Citroen"
"106","Claas"
"107","Clark"
"5346","Clermont"
"6472","Clever"
"5674","Club Car"
"379","Coachmen"
"1290","Cobalt"
"1117","Cobia"
"13","Cobra"
"5738","Colnago"
"5638","Comag"
"6599","Comanche"
"351","Combilift"
"5278","Commander"
"5425","Commencal"
"1311","Compass"
"380","Concorde"
"5687","Continental"
"6074","Cooper Bikes"
"311","Copma"
"5793","Coppi"
"5861","Corallo"
"5828","Coronet"
"5279","Corratec"
"5353","Correct-craft"
"5824","Corvara"
"644","Corvette"
"5492","Cosa"
"5382","Cosalt"
"5857","Cosmic Princess"
"6248","Coverline-Marea"
"35","CPI"
"1367","Cranchi"
"1369","Cranchi-Italie"
"381","Cristall"
"5554","Cronus"
"5794","Cross"
"6019","Crown"
"1381","Crownline"
"1383","Cruisers-Yachts"
"5765","Crusader"
"382","Cs Reisemobile"
"5298","Cube"
"645","Dacia"
"31","Daelim"
"109","Daewoo"
"108","DAF"
"5339","Dafier"
"5581","Dahon"
"15","Daihatsu"
"1416","Dalla"
"5009","Daltec"
"671","Dautel"
"325","David-Brown"
"3882","Dayang"
"315","Daytona"
"1434","Dc"
"383","Dehler"
"5667","Del Morino"
"1467","Delta"
"5561","Dema"
"110","Demag"
"6068","De Masi"
"29","Derbi"
"6585","Derecktor"
"5847","De Rosa"
"5669","Dervisis-Bros"
"384","Dethleffs"
"16","DeTomaso"
"3825","Deutz"
"111","Deutz-Fahr"
"6568","Devron"
"687","Dexheimer"
"5941","Dhs"
"5268","Diamond"
"5846","Diamondback"
"3881","Dias"
"6448","Dimoudis"
"654","Dinkel"
"26","Dinli"
"5689","Dirt Motos"
"5010","Ditch Witch"
"5977","Diverib"
"24","Dkw"
"17","Dodge"
"112","Doll"
"1502","Dolphin"
"5955","Dominator"
"5962","Donzi"
"6020","Doosan"
"679","Doppstadt"
"1509","Doral"
"6002","Douglas"
"5303","Downhill"
"1518","Draco"
"5695","Drag"
"1519","Drago"
"6049","Dragon"
"5011","Dresser"
"113","Drögmöller"
"5968","Dromeys"
"5204","Dromor"
"6370","Drops"
"6286","DS"
"5963","D-Tec"
"20","Ducati"
"114","Dücker"
"385","Due Erre"
"5855","Dunlop"
"115","Düvelsdorf"
"5671","Dyna"
"5510","Dynamic"
"434","Dynapac"
"5505","Dynastar"
"3879","Eagle"
"5267","Eastman"
"5825","Eastway"
"5796","Easybikes"
"5260","Easykart"
"5104","E-ATV"
"5804","Ebak"
"116","Eberhardt"
"5546","Ebro"
"5948","Eclipse"
"5531","EcoBike"
"6595","Ecocar"
"5926","Eco Marine"
"6207","Ecomoving"
"5923","Eddy Merckx"
"5515","Edelwiser"
"5014","Eduard"
"5487","Efco"
"309","Efer"
"445","Effer"
"6443","EFGC"
"5740","Egon Rahe"
"5716","Ehline"
"117","Eicher"
"386","Eifelland"
"6516","Ekam-Liotakis"
"5509","Elan"
"5697","Electra"
"6262","Elgek"
"5331","Elios"
"387","Elnagh"
"6489"," Elxis"
"6101","Emanuel"
"6296","E-max"
"5081","Emb"
"6297","Emco"
"6578","Emilios"
"5107","EML"
"5435","Emw"
"1588","Endeavour"
"5932","Energy"
"5139","Enfield"
"5741","Enik"
"5012","EOS"
"6045","E-Power"
"388","Eriba"
"5233","E-Savage"
"6099","Escape"
"5661","Eska"
"5294","Esperia"
"614","Esterel"
"6244","Etesia"
"19","E-Ton"
"389","Euramobil"
"1611","Euro"
"390","Euro Liner"
"5528","Euromarine"
"5226","Euromotors"
"334","Europa"
"6411","Eurotec"
"5930","EuroTrailer"
"5593","Euro-Trailer"
"5721","Everest"
"5575","Evinrude"
"615","EVM"
"5013","EVO"
"118","EvoBus"
"5221","Evomoto"
"5479","Evripus"
"6371","Exocet"
"6298","Explorer"
"6078","Ezee"
"5677","EZ Go"
"5316","Faeton"
"119","Fahr"
"5090","Fairline"
"1674","Falcon"
"6046","Fanatic"
"6331","Fantini"
"6363","Farmgem"
"5483","Farmi Forest"
"680","Farmtrac"
"673","Fassi"
"1684","Fast"
"5683","Fatboy"
"120","Faun"
"5710","Favorit"
"5818","Faza"
"5485","Felco"
"121","Feldbinder"
"122","Fella"
"5712","Felt"
"123","Fendt"
"5015","Fermec"
"18","Ferrari"
"1697","Ferretti"
"308","Ferri"
"3891","Fever"
"616","FFB - Tabbert"
"5179","FG Modellsport"
"124","Fiat"
"1704","Fibre"
"5295","Fidusa"
"5529","Field"
"6337","Finnmaster"
"6412","Fintec"
"5280","Fiorelli"
"437","Fiori"
"1724","Fischer"
"5742","Fisher"
"6584","Fiskars"
"6285","Fisker"
"5016","Fitzel"
"6060","Fjord"
"391","Flair Niesmann Bischoff"
"392","Fleetwood"
"1739","Fletcher"
"125","Fliegl"
"6463","Flyer"
"6340","Fnm"
"5292","Focus"
"6077","Foffa"
"5993","Fondriest"
"6240","F-one"
"5715","Footbikes"
"5406","Force"
"5263","Force1"
"126","Ford"
"617","Ford - Reimo"
"5212","Formula"
"6471","Forster"
"127","Fortschritt"
"5365","Fost"
"5422","Fotopoulos"
"5318","Fountain"
"1771","Fourwins"
"6064","Frandent"
"393","Frankia"
"6396","FreeMove"
"5017","Freightliner"
"6334","Frejus"
"5408","Frera"
"6069","Frexoragri"
"338","Frk"
"618","FR-Mobil"
"128","Frost"
"129","Frühauf"
"5176","FTX"
"130","Fuchs"
"5436","Fuji"
